Sno,item_id,category,link,depth,height,width,weight
41,29291956,Beds,https://www.ikea.com/sa/en/p/slaekt-bed-frame-w-storage-slatted-bedbase-white-s29291956/,57,14,96,
52,29241160,Beds,https://www.ikea.com/sa/en/p/songesand-bed-frame-with-4-storage-boxes-brown-loenset-s29241160/,64,14,153,
25,49278341,Beds,https://www.ikea.com/sa/en/p/brimnes-bed-frame-w-storage-and-headboard-white-luroey-s49278341/,54,110,96,
32,79012991,Beds,https://www.ikea.com/sa/en/p/malm-bed-frame-high-w-2-storage-boxes-white-s79012991/,59,15,105,
39,99239451,Beds,https://www.ikea.com/sa/en/p/slaekt-underbed-with-storage-white-s99239451/,57,45,95,
28,20400691,Beds,https://www.ikea.com/sa/en/p/brimnes-bed-frame-with-storage-white-20400691/,54,47,96,
26,89326463,Beds,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-4-drawers-white-fonnes-s89326463/,40,43,140,
35,9241420,Beds,https://www.ikea.com/sa/en/p/nordli-bed-frame-w-storage-and-headboard-white-s09241420/,51,16,240,
38,60372276,Beds,https://www.ikea.com/sa/en/p/hemnes-day-bed-frame-with-3-drawers-grey-60372276/,70,18,89,
30,79902935,Beds,https://www.ikea.com/sa/en/p/brimnes-bed-frame-with-storage-white-s79902935/,54,20,146,
50,9324284,Beds,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-6-doors-12-drawers-white-fonnes-s09324284/,40,43,140,
37,60116960,Beds,https://www.ikea.com/sa/en/p/lycksele-storage-box-2-seat-sofa-bed-black-60116960/,55,21,92,
34,90354327,Beds,https://www.ikea.com/sa/en/p/hammarn-sofa-bed-knisa-dark-grey-black-90354327/,85,78,128,
31,90349326,Beds,https://www.ikea.com/sa/en/p/hemnes-day-bed-frame-with-3-drawers-white-90349326/,70,18,89,
36,69241097,Beds,https://www.ikea.com/sa/en/p/songesand-bed-frame-with-2-storage-boxes-brown-s69241097/,64,14,153,
62,9302913,Beds,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-4-drawers-white-fonnes-s09302913/,40,42,141,
45,40349847,Beds,https://www.ikea.com/sa/en/p/nordli-bed-frame-with-storage-white-40349847/,51,16,140,
51,228705,Beds,https://www.ikea.com/sa/en/p/brimnes-day-bed-frame-with-2-drawers-white-00228705/,53,21,86,
49,10453086,Beds,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-storage-white-10453086/,40,43,140,
66,80362974,Beds,https://www.ikea.com/sa/en/p/slaekt-storage-box-with-castors-80362974/,53,35,62,
43,20228709,Beds,https://www.ikea.com/sa/en/p/brimnes-headboard-with-storage-compartment-white-20228709/,28,111,146,
83,60431563,Beds,https://www.ikea.com/sa/en/p/friheten-3-seat-sofa-bed-skiftebo-blue-60431563/,105,83,225,
48,89302914,Beds,https://www.ikea.com/sa/en/p/platsa-bed-frame-with-10-drawers-white-fonnes-s89302914/,40,43,140,
480,80275887,Cabinets & cupboards,https://www.ikea.com/sa/en/p/kallax-shelving-unit-white-80275887/,39,147,77,
500,40300662,Cabinets & cupboards,https://www.ikea.com/sa/en/p/brimnes-cabinet-with-doors-white-40300662/,41,95,78,
492,50413507,Cabinets & cupboards,https://www.ikea.com/sa/en/p/hemnes-glass-door-cabinet-with-3-drawers-white-stain-light-brown-50413507/,37,197,90,
482,40033763,Cabinets & cupboards,https://www.ikea.com/sa/en/p/ivar-cabinet-pine-40033763/,30,83,80,
512,396416,Cabinets & cupboards,https://www.ikea.com/sa/en/p/milsbo-glass-door-cabinet-white-00396416/,42,175,73,
513,69281804,Cabinets & cupboards,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-glass-doors-white-s69281804/,30,202,120,
493,29281066,Cabinets & cupboards,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-doors-white-s29281066/,30,202,80,
520,29301762,Cabinets & cupboards,https://www.ikea.com/sa/en/p/besta-storage-combination-with-doors-white-lappviken-stubbarp-white-s29301762/,42,202,120,
514,59275101,Cabinets & cupboards,https://www.ikea.com/sa/en/p/havsta-cabinet-with-plinth-white-s59275101/,37,134,81,
506,19205884,Cabinets & cupboards,https://www.ikea.com/sa/en/p/besta-storage-combination-with-doors-black-brown-kallviken-dark-grey-concrete-effect-s19205884/,40,192,120,
498,50300666,Cabinets & cupboards,https://www.ikea.com/sa/en/p/brimnes-cabinet-with-doors-glass-white-50300666/,41,95,78,
485,59278307,Cabinets & cupboards,https://www.ikea.com/sa/en/p/kallax-shelving-unit-with-4-inserts-white-s59278307/,39,147,77,
491,69287392,Cabinets & cupboards,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-door-white-s69287392/,30,106,40,
531,79281790,Cabinets & cupboards,https://www.ikea.com/sa/en/p/billy-oxberg-bookcase-with-panel-glass-doors-white-glass-s79281790/,30,202,120,
490,70328669,Cabinets & cupboards,https://www.ikea.com/sa/en/p/lixhult-cabinet-metal-grey-70328669/,35,35,60,
542,49249396,Cabinets & cupboards,https://www.ikea.com/sa/en/p/haellan-storage-combination-with-doors-white-s49249396/,47,167,45,
540,29285776,Cabinets & cupboards,https://www.ikea.com/sa/en/p/galant-storage-combination-w-sliding-doors-white-stained-oak-veneer-s29285776/,45,120,320,
519,363171,Cabinets & cupboards,https://www.ikea.com/sa/en/p/fabrikoer-glass-door-cabinet-black-blue-blue-00363171/,42,113,81,
551,69284987,Cabinets & cupboards,https://www.ikea.com/sa/en/p/besta-cabinet-unit-black-brown-s69284987/,40,202,60,
